번호,과학원번호,발견일,폐사추정일,폐사경과일,,
461,20S-3757,2020-03-28,2020-03-21,7,,
462,20S-3758,2020-03-28,2020-03-25,3,,
463,20S-3763,2020-03-28,2020-03-23,5,,
464,20S-3764,2020-03-28,2020-03-23,5,,
465,20S-3765,2020-03-28,2020-03-08,20,,
466,20S-3766,2020-03-28,2020-03-03,25,,
467,20S-3767,2020-03-28,2020-03-21,7,,
468,20S-3798,2020-03-29,2020-03-26,3,,
469,20S-3799,2020-03-29,2020-03-24,5,,
470,20S-3800,2020-03-29,2020-03-22,7,,
471,20S-3912,2020-03-28,2020-03-16,12,,
472,20S-3914,2020-03-31,2020-03-26,5,,
473,20S-3929,2020-03-31,2020-03-31,0,,
474,20S-3938,2020-03-31,2020-03-28,3,,
475,20S-3940,2020-03-31,2020-03-26,5,,
476,20S-3941,2020-03-31,2020-03-28,3,,
477,20S-3944,2020-03-31,2020-03-28,3,,
478,20S-3947,2020-03-31,2020-03-26,5,,
479,20S-3949,2020-03-31,2020-03-26,5,,
480,20S-4020,2020-03-31,2020-03-31,0,,
481,20S-4024,2020-04-02,2020-03-26,7,,
482,20S-4026,2020-04-02,2020-02-22,40,,
483,20S-4029,2020-04-02,2020-03-30,3,,
484,20S-4054,2020-04-03,2020-03-29,5,,
485,20S-4084,2020-04-03,2020-03-27,7,,
486,20S-4094,2020-04-04,2020-03-15,20,,
487,20S-4095,2020-04-04,2020-03-30,5,,
488,20S-4101,2020-04-04,2020-03-30,5,,
489,20S-4102,2020-04-04,2020-03-05,30,,
490,20S-4106,2020-04-05,2020-04-02,3,,
491,20S-4188,2020-04-06,2020-03-07,30,,
492,20S-4189,2020-04-06,2020-03-27,10,,
493,20S-4191,2020-04-06,2020-04-01,5,,
494,20S-4192,2020-04-06,2020-04-03,3,,
495,20S-4194,2020-04-06,2020-04-03,3,,
496,20S-4195,2020-04-06,2020-04-03,3,,
497,20S-4241,2020-04-07,2020-04-04,3,,
498,20S-4243,2020-04-07,2020-04-02,5,,
499,20S-4244,2020-04-07,2020-03-08,30,,
500,20S-4245,2020-04-07,2020-03-28,10,,
501,20S-4246,2020-04-07,2020-03-31,7,,
502,20S-4247,2020-04-07,2020-03-18,20,,
503,20S-4248,2020-04-07,2020-03-23,15,,
504,20S-4249,2020-04-07,2020-03-23,15,,
505,20S-4251,2020-04-07,2020-04-02,5,,
506,20S-4253,2020-04-07,2020-03-31,7,,
507,20S-4275,2020-04-08,2020-03-24,15,,
508,20S-4276,2020-04-08,2020-03-29,10,,
509,20S-4279,2020-04-08,2020-04-01,7,,
510,20S-4280,2020-04-08,2020-04-01,7,,
511,20S-4281,2020-04-08,2020-04-03,5,,
512,20S-4282,2020-04-08,2020-04-05,3,,
513,20S-4284,2020-04-08,2020-03-24,15,,
514,20S-4336,2020-04-09,2020-04-04,5,,
515,20S-4337,2020-04-09,2020-04-04,5,,
516,20S-4338,2020-04-09,2020-03-30,10,,
517,20S-4343,2020-04-09,2020-04-06,3,,
518,20S-4348,2020-04-09,2020-04-02,7,,
519,20S-4401,2020-04-10,2020-03-31,10,,
520,20S-4406,2020-04-10,2020-03-21,20,,
521,20S-4407,2020-04-10,2020-03-26,15,,
522,20S-4408,2020-04-10,2020-03-21,20,,
523,20S-4411,2020-04-10,2020-03-21,20,,
524,20S-4413,2020-04-10,2020-04-03,7,,
525,20S-4414,2020-04-10,2020-03-31,10,,
526,20S-4421,2020-04-11,2020-03-27,15,,
527,20S-4437,2020-04-11,2020-04-11,0,,
528,20S-4441,2020-04-11,2020-03-30,12,,
529,20S-4442,2020-04-11,2020-04-01,10,,
530,20S-4450,2020-04-12,2020-04-05,7,,
531,20S-4462,2020-04-13,2020-04-06,7,,
